Data;N1;N2;N3;N4;N5;N6
11/03/1996;4;5;30;33;41;52
18/03/1996;9;37;39;41;43;49
25/03/1996;10;11;29;30;36;47
01/04/1996;1;5;6;27;42;59
08/04/1996;1;2;6;16;19;46
15/04/1996;7;13;19;22;40;47
22/04/1996;3;5;20;21;38;56
29/04/1996;4;17;37;38;47;53
06/05/1996;8;43;54;55;56;60
13/05/1996;4;18;21;25;38;57
20/05/1996;15;25;37;38;58;59
27/05/1996;4;16;19;20;27;43
03/06/1996;18;32;47;50;54;56
10/06/1996;2;16;23;27;47;53
17/06/1996;12;33;35;51;52;60
24/06/1996;20;32;34;49;58;60
01/07/1996;6;10;13;19;20;51
08/07/1996;23;27;36;37;42;56
15/07/1996;5;10;12;24;25;60
22/07/1996;11;25;28;30;33;51
29/07/1996;6;33;36;46;49;53
05/08/1996;1;9;31;38;46;56
12/08/1996;17;37;39;51;52;59
19/08/1996;1;8;14;28;33;43
25/08/1996;24;43;50;54;55;56
01/09/1996;10;22;50;53;57;58
08/09/1996;13;17;20;33;44;51
15/09/1996;3;6;22;24;54;60
22/09/1996;3;8;14;43;56;58
29/09/1996;7;14;15;29;38;50
06/10/1996;17;19;28;45;48;56
13/10/1996;5;14;33;36;43;44
20/10/1996;5;17;33;39;42;49
27/10/1996;13;15;17;40;53;57
03/11/1996;4;16;21;23;54;57
10/11/1996;3;13;17;25;29;51
17/11/1996;6;7;22;38;52;60
24/11/1996;10;42;43;45;54;55
01/12/1996;12;16;37;45;52;56
08/12/1996;3;5;8;12;46;47
15/12/1996;12;26;35;38;39;47
22/12/1996;7;11;19;24;33;36
29/12/1996;2;6;17;25;26;58
05/01/1997;14;18;29;38;44;47
12/01/1997;7;30;37;44;53;55
19/01/1997;1;23;24;32;46;60
26/01/1997;3;17;25;35;48;56
02/02/1997;2;5;28;34;47;50
09/02/1997;7;13;33;35;43;55
16/02/1997;6;16;21;44;57;58
23/02/1997;17;23;24;25;42;47
02/03/1997;15;30;38;46;58;59
09/03/1997;3;13;16;38;42;46
16/03/1997;5;9;18;21;36;56
23/03/1997;2;14;23;29;38;52
30/03/1997;2;7;20;35;51;59
06/04/1997;7;16;17;27;34;59
13/04/1997;12;27;30;37;44;49
20/04/1997;2;8;13;28;34;54
27/04/1997;3;14;15;20;21;38
04/05/1997;8;18;29;42;44;59
11/05/1997;6;8;13;24;31;52
18/05/1997;9;25;26;40;41;49
25/05/1997;8;12;23;50;54;60
01/06/1997;1;5;20;25;32;34
08/06/1997;12;13;15;26;33;48
15/06/1997;12;14;17;27;47;52
22/06/1997;1;3;12;13;53;59
29/06/1997;25;34;45;53;56;58
06/07/1997;17;23;27;40;43;58
13/07/1997;16;27;33;43;45;53
20/07/1997;1;19;34;43;44;48
27/07/1997;25;26;28;45;51;57
03/08/1997;2;24;34;37;38;50
10/08/1997;21;24;35;36;37;49
17/08/1997;8;17;18;23;33;53
24/08/1997;21;29;40;49;54;57
31/08/1997;12;22;25;31;32;46
07/09/1997;2;13;17;25;31;43
14/09/1997;23;28;37;40;48;51
21/09/1997;10;23;41;47;54;60
28/09/1997;15;18;29;36;51;53
05/10/1997;4;15;16;24;42;57
12/10/1997;4;6;10;25;34;40 
19/10/1997;6;15;30;37;45;47 
26/10/1997;6;21;22;34;36;54
02/11/1997;4;5;11;28;32;40
09/11/1997;4;18;29;37;43;45
16/11/1997;13;34;42;44;55;59
23/11/1997;9;21;26;40;52;54
30/11/1997;2;4;10;35;39;60 
07/12/1997;1;3;5;23;24;51
14/12/1997;2;22;28;31;36;53 
21/12/1997;8;18;28;51;52;55
28/12/1997;6;40;45;46;50;60
04/01/1998;4;7;26;40;42;58
11/01/1998;5;11;14;35;53;56
18/01/1998;13;14;31;33;35;43
25/01/1998;11;24;30;33;46;60